campaign_name,deliver_rate,open_rate,click_rate,conversion_rate,engagement_time_mean,engagement_time_scaled,engagement_score,total_revenue,total_campaign_cost,customer_segment,recommended_product_name,total_profit,clv
Auto Loan Campaign for Budget-Conscious,0.9398782343987824,0.2907153729071537,0.0958904109589041,0.07686453576864535,46594.783105022834,0.20119566231874847,0.17539894981534784,285963.10000000003,135924.98,Budget-Conscious,Auto Loan,150.03812000000002,316.53819056832407
Auto Loan Campaign for Middle-Market,0.9326710816777042,0.30242825607064017,0.10816777041942605,0.0772626931567329,46934.19426048565,0.6713387971709097,0.27908012146508704,248382.53999999998,134700.03,Middle-Market,Auto Loan,113.68250999999998,302.08361977985624
Auto Loan Campaign for Young Professionals,0.9262734584450402,0.2949061662198391,0.08847184986595175,0.08847184986595175,47171.465147453084,1.0,0.3327077747989276,29154.99,12412.06,Young Professionals,Auto Loan,16.74293,306.80520678197394
Credit Card Campaign for Budget-Conscious,0.9667673716012085,0.2688821752265861,0.09365558912386707,0.09365558912386707,46517.36102719033,0.09395269816423442,0.14628298676275625,104820.45999999999,71483.16,Budget-Conscious,Credit Card,33.337299999999985,281.5188679297253
Credit Card Campaign for Middle-Market,0.987088444157521,0.25112976113621693,0.08198837959974177,0.09360877985797289,47052.8608779858,0.8357125799882282,0.2834756341383816,462859.89,189512.19999999998,Middle-Market,Credit Card,273.34769000000006,335.8012178295483
Credit Card Campaign for Young Professionals,0.9866888519134775,0.1913477537437604,0.064891846921797,0.08153078202995008,46821.44758735441,0.5151651608689574,0.1928832817578181,86319.79,57267.880000000005,Young Professionals,Credit Card,29.05190999999999,423.94619276390927
Investment Product Campaign for High-Value,0.9629629629629629,0.2599090318388564,0.07992202729044834,0.10721247563352826,46767.31578947369,0.4401832613609039,0.20597037546906188,385408.9,152993.99,High-Value,Investment Product,232.41491000000002,329.56942667977177
Mortgage Campaign for Retired,0.48589341692789967,0.1154649947753396,0.02612330198537095,0.09299895506792058,46612.38453500522,0.22557668614961351,0.09281648665521006,392904.31999999995,265614.01,Retired,Mortgage,127.29030999999993,371.2013802523131
Personal Loan Campaign for Budget-Conscious,0.9661904761904762,0.25523809523809526,0.09238095238095238,0.08238095238095237,46828.628333333334,0.5251117356081003,0.22778425188352483,499335.86,238916.38999999998,Budget-Conscious,Personal Loan,260.41947,338.7671339697083
Personal Loan Campaign for Middle-Market,0.9837737598516458,0.23922114047287898,0.09921186833565136,0.09318497913769123,46449.53361149745,0.0,0.12137227630968939,280866.72,152833.68,Middle-Market,Personal Loan,128.03303999999997,333.86190873836193
Personal Loan Campaign for Young Professionals,0.9427583557433731,0.24971187091817135,0.08336534767575873,0.07414521705724164,46726.097579715715,0.3830889141754602,0.1932140179484228,302228.22,130639.79999999999,Young Professionals,Personal Loan,171.58841999999999,300.43960994312994
Savings Account Campaign for Middle-Market,0.9834578441835645,0.2705442902881537,0.08057630736392743,0.11953041622198506,46826.53201707578,0.5222079751361571,0.22589303579564124,534592.77,248407.56,Middle-Market,Savings Account,286.18521000000004,386.6613698312387
Savings Account Campaign for Retired,0.5913717886572952,0.13184682501211828,0.0407174018419777,0.10276296655356278,46841.280174503154,0.5426367231445879,0.1684400930535419,237154.71,137423.18,Retired,Savings Account,99.73152999999999,346.7269466397752
Wealth Management Campaign for High-Value,0.9356877323420074,0.2921933085501859,0.08996282527881042,0.08921933085501858,46796.94646840149,0.48122687485062304,0.22888478017458558,404706.95,149028.97,High-Value,Wealth Management,255.67798000000002,320.5353686785198
Wealth Management Campaign for Retired,0.9788566953797964,0.21025841816758026,0.06303837118245889,0.10101801096319499,46529.53563038371,0.11081662858841809,0.11676003675918714,642095.05,346070.77,Retired,Wealth Management,296.02428000000003,372.2050299965028
